trial,sphereNumber,sphereX,sphereY,sphereDist,sphereRadius,probeAnswerRadius
1,1,1.992389396183491,2.8256885145046837,6,0.25291313641233487,0.40264918208910433
1,2,1.4386796006773024,4.3893167409179945,6,0.27243504289120635,0.40264918208910433
1,3,-0.10467191248588768,4.9972590695091474,6,0.3872304117564279,0.40264918208910433
1,4,-1.3893167409179947,4.438679600677302,6,0.22677214261480494,0.40264918208910433
1,5,-1.9951281005196484,2.8604870525117496,6,0.2411997056992258,0.40264918208910433
1,6,-1.4142135623730954,1.585786437626905,6,0.2533821291934853,0.40264918208910433
1,7,-0.1743114854953165,1.007610603816509,6,0.2958038281907944,0.40264918208910433
1,8,1.4627074032383414,1.6360032798750035,6,0.39934737809692245,0.40264918208910433
2,1,1.992389396183491,3.1743114854953163,6,0.23912622398249633,0.3587207439675536
2,2,1.462707403238341,4.363996720124997,6,0.24022928470337665,0.3587207439675536
2,3,1.2246467991473532e-16,5.0,6,0.25132572239917517,0.3587207439675536
2,4,-1.5320888862379558,4.285575219373079,6,0.3909472058161435,0.3587207439675536
2,5,-1.9951281005196484,2.8604870525117496,6,0.3182660853355229,0.3587207439675536
2,6,-1.5094191604455443,1.687881942018986,6,0.2940462978793839,0.3587207439675536
2,7,-0.034904812874566996,1.0003046096872175,6,0.2625735771108178,0.3587207439675536
2,8,1.4386796006773017,1.6106832590820048,6,0.3308576290972649,0.3587207439675536
3,1,1.9951281005196484,3.1395129474882504,6,0.3212721183826147,0.29385429687396947
3,2,1.3382612127177165,4.486289650954788,6,0.2685199766816575,0.29385429687396947
3,3,1.2246467991473532e-16,5.0,6,0.2117780672789051,0.29385429687396947
3,4,-1.462707403238341,4.363996720124997,6,0.3590945975585275,0.29385429687396947
3,5,-1.9996953903127825,2.9650951871254327,6,0.2799741281397175,0.29385429687396947
3,6,-1.4142135623730954,1.585786437626905,6,0.20906057525894278,0.29385429687396947
3,7,0.10467191248588789,1.0027409304908523,6,0.24343780973051243,0.29385429687396947
3,8,1.3639967201249972,1.5372925967616593,6,0.28689959981633584,0.29385429687396947
4,1,1.992389396183491,2.8256885145046837,6,0.2121322537194622,0.1810268666273645
4,2,1.3382612127177165,4.486289650954788,6,0.31158630402677107,0.1810268666273645
4,3,-0.17431148549531647,4.992389396183491,6,0.3221862519421761,0.1810268666273645
4,4,-1.2855752193730787,4.532088886237956,6,0.3734366081358343,0.1810268666273645
4,5,-1.992389396183491,3.1743114854953163,6,0.35985147998925365,0.1810268666273645
4,6,-1.3639967201249972,1.537292596761659,6,0.36581184447499987,0.1810268666273645
4,7,0.10467191248588789,1.0027409304908523,6,0.3519213205265649,0.1810268666273645
4,8,1.3639967201249972,1.5372925967616593,6,0.3761545563497119,0.1810268666273645
5,1,1.9951281005196484,2.8604870525117496,6,0.2617190826546055,0.2861839471841912
5,2,1.3121180579810146,4.509419160445544,6,0.3784503798915043,0.2861839471841912
5,3,-0.06979899340500191,4.998781654038192,6,0.24004036027693867,0.2861839471841912
5,4,-1.3121180579810143,4.509419160445544,6,0.33686830476160023,0.2861839471841912
5,5,-1.9996953903127825,2.9650951871254327,6,0.25407455094479364,0.2861839471841912
5,6,-1.4386796006773022,1.6106832590820055,6,0.21820106647801907,0.2861839471841912
5,7,-0.10467191248588861,1.0027409304908523,6,0.339485156522326,0.2861839471841912
5,8,1.4862896509547885,1.6617387872822837,6,0.3623329019162175,0.2861839471841912
